"","t6","t7","t8","t9","t10"
"1",0.122405052185059,0.123725891113281,0.145416021347046,0.143083095550537,0.171884059906006
"2",0.0905849933624268,0.130864143371582,0.115172147750854,0.315815925598145,0.115895986557007
"3",0.109380006790161,0.109375953674316,0.120203018188477,0.120265960693359,0.140652894973755
"4",0.0937190055847168,0.109370946884155,0.105742931365967,0.139074802398682,0.137686967849731
"5",0.101238012313843,0.1093430519104,0.122276067733765,0.136457920074463,0.157356023788452
"6",0.111148834228516,0.128069162368774,0.129945993423462,0.113162040710449,0.130338191986084
"7",0.0864548683166504,0.116575956344604,0.111838817596436,0.140650987625122,0.130293846130371
"8",0.0945291519165039,0.116654872894287,0.110702037811279,0.121999025344849,0.14018988609314
"9",0.106246948242188,0.113239049911499,0.124990940093994,0.137356996536255,0.09375
"10",0.0965349674224854,0.105812072753906,0.140619039535522,0.153504848480225,0.118162155151367
"11",0.0857419967651367,0.306756973266602,0.109377145767212,0.153393030166626,0.137754917144775
"12",0.0937180519104004,0.109371900558472,0.109370946884155,0.171878099441528,0.0937550067901611
"13",0.0909409523010254,0.110875129699707,0.0960721969604492,0.167884111404419,0.0781009197235107
"14",0.103124141693115,0.1249680519104,0.0877950191497803,0.0910289287567139,0.0901670455932617
"15",0.0780930519104004,0.1093430519104,0.0781009197235107,0.0937449932098389,0.0929770469665527
"16",0.104984998703003,0.10600209236145,0.082024097442627,0.0937371253967285,0.08107590675354
"17",0.109374046325684,0.11006498336792,0.0776140689849854,0.120829105377197,0.0628540515899658
"18",0.140623092651367,0.105679988861084,0.0715880393981934,0.106143951416016,0.0636179447174072
"19",0.137854099273682,0.110710859298706,0.0781030654907227,0.133134841918945,0.0624780654907227
"20",0.156252145767212,0.125001192092896,0.0781021118164062,0.136502981185913,0.0744330883026123
"21",0.109378099441528,0.09375,0.0780999660491943,0.124966859817505,0.0625
"22",0.0907220840454102,0.0625009536743164,0.0781331062316895,0.124994039535522,0.074847936630249
"23",0.0937449932098389,0.0624969005584717,0.0781021118164062,0.121824979782104,0.0624969005584717
"24",0.0937461853027344,0.0624740123748779,0.0781309604644775,0.124755144119263,0.0312488079071045
"25",0.0937469005584717,0.0827019214630127,0.0781180858612061,0.137357950210571,0.031242847442627
"26",0.0937209129333496,0.0755579471588135,0.0687680244445801,0.138436079025269,0.0312480926513672
"27",0.0897209644317627,0.109364986419678,0.0624752044677734,0.140641927719116,0.0393979549407959
"28",0.093764066696167,0.130957126617432,0.0781040191650391,0.136790990829468,0.0468521118164062
"29",0.0907788276672363,0.127962112426758,0.0624988079071045,0.12183403968811,0.124969005584717
"30",0.0875449180603027,0.127789974212646,0.125000953674316,0.136284112930298,0.137793064117432
"31",0.0907330513000488,0.116791963577271,0.124966859817505,0.124995946884155,0.125000953674316
"32",0.096851110458374,0.12499213218689,0.129395008087158,0.138873100280762,0.133772850036621
"33",0.109344959259033,0.115237951278687,0.124969005584717,0.121901035308838,0.14471697807312
